season_link,season_name,season_no,days,start_date,end_date,num_castaways,winner
/wiki/Survivor:_Borneo,Survivor: Borneo,1,39,"March 13, 2000","April 20, 2000",16,Richard Hatch
/wiki/Survivor:_The_Australian_Outback,Survivor: The Australian Outback,2,42,"October 23, 2000","December 3, 2000",16,Tina Wesson
/wiki/Survivor:_Africa,Survivor: Africa,3,39,"July 11, 2001","August 18, 2001",16,Ethan Zohn
/wiki/Survivor:_Marquesas,Survivor: Marquesas,4,39,"November 12, 2001","December 20, 2001",16,Vecepia Towery
/wiki/Survivor:_Thailand,Survivor: Thailand,5,39,"June 10, 2002","July 18, 2002",16,Brian Heidik
/wiki/Survivor:_The_Amazon,Survivor: The Amazon,6,39,"November 4, 2002","December 12, 2002",16,Jenna Morasca
/wiki/Survivor:_Pearl_Islands,Survivor: Pearl Islands,7,39,"June 23, 2003","July 31, 2003",16,Sandra Diaz-Twine
/wiki/Survivor:_All-Stars,Survivor: All-Stars,8,39,"November 3, 2003","December 11, 2003[1]",18,Amber Brkich
/wiki/Survivor:_Vanuatu,Survivor: Vanuatu,9,39,"June 26, 2004","August 3, 2004",18,Chris Daugherty
/wiki/Survivor:_Palau,Survivor: Palau,10,39,"November 1, 2004","December 9, 2004",20,Tom Westman
/wiki/Survivor:_Guatemala,Survivor: Guatemala,11,39,"June 27, 2005","August 4, 2005",18,Danni Boatwright
/wiki/Survivor:_Panama,Survivor: Panama,12,39,"October 31, 2005","December 8, 2005",16,Aras Baskauskas
/wiki/Survivor:_Cook_Islands,Survivor: Cook Islands,13,39,"June 26, 2006","August 3, 2006",20,Yul Kwon
/wiki/Survivor:_Fiji,Survivor: Fiji,14,39,"October 30, 2006","December 7, 2006",19,Earl Cole
/wiki/Survivor:_China,Survivor: China,15,39,"June 25, 2007","August 2, 2007",16,Todd Herzog
/wiki/Survivor:_Micronesia,Survivor: Micronesia,16,39,"October 29, 2007","December 6, 2007[1]",20,Parvati Shallow
/wiki/Survivor:_Gabon,Survivor: Gabon,17,39,"June 23, 2008","July 31, 2008",18,Bob Crowley
/wiki/Survivor:_Tocantins,Survivor: Tocantins,18,39,"November 1, 2008","December 9, 2008",16,J.T. Thomas
/wiki/Survivor:_Samoa,Survivor: Samoa,19,39,"June 11, 2009","July 19, 2009",20,Natalie White
/wiki/Survivor:_Heroes_vs._Villains,Survivor: Heroes vs. Villains,20,39,"August 9, 2009","September 16, 2009",20,Sandra Diaz-Twine
/wiki/Survivor:_Nicaragua,Survivor: Nicaragua,21,39,"June 14, 2010","July 22, 2010",20,Fabio Birza
/wiki/Survivor:_Redemption_Island,Survivor: Redemption Island,22,39,"August 16, 2010","September 23, 2010",18,Rob Mariano
/wiki/Survivor:_South_Pacific,Survivor: South Pacific,23,39,"May 30, 2011","July 7, 2011",18,Sophie Clarke
/wiki/Survivor:_One_World,Survivor: One World,24,39,"August 1, 2011","September 8, 2011",18,Kim Spradlin
/wiki/Survivor:_Philippines,Survivor: Philippines,25,39,"March 18, 2012","April 25, 2012",18,Denise Stapley
/wiki/Survivor:_Caramoan,Survivor: Caramoan,26,39,"May 21, 2012","June 28, 2012",20,John Cochran
/wiki/Survivor:_Blood_vs._Water,Survivor: Blood vs. Water,27,39,"May 19, 2013","June 27, 2013[1]",20,Tyson Apostol
/wiki/Survivor:_Cagayan,Survivor: Cagayan,28,39,"July 10, 2013","August 17, 2013",18,Tony Vlachos
/wiki/Survivor:_San_Juan_del_Sur,Survivor: San Juan del Sur,29,39,"June 1, 2014","July 10, 2014[1]",18,Natalie Anderson
/wiki/Survivor:_Worlds_Apart,Survivor: Worlds Apart,30,39,"August 4, 2014","September 11, 2014",18,Mike Holloway
/wiki/Survivor:_Cambodia,Survivor: Cambodia,31,39,"May 31, 2015","July 8, 2015[1]",20,Jeremy Collins
/wiki/Survivor:_Ka%C3%B4h_R%C5%8Dng,Survivor: Kaôh Rōng,32,39,"March 30, 2015","May 7, 2015[1]",18,Michele Fitzgerald
/wiki/Survivor:_Millennials_vs._Gen_X,Survivor: Millennials vs. Gen X,33,39,"April 4, 2016","May 12, 2016[2]",20,Adam Klein
/wiki/Survivor:_Game_Changers,Survivor: Game Changers,34,39,"June 6, 2016","July 14, 2016[2]",20,Sarah Lacina
/wiki/Survivor:_Heroes_vs._Healers_vs._Hustlers,Survivor: Heroes vs. Healers vs. Hustlers,35,39,"April 3, 2017","May 11, 2017[1]",18,Ben Driebergen
/wiki/Survivor:_Ghost_Island,Survivor: Ghost Island,36,39,"June 5, 2017","July 13, 2017[2]",20,Wendell Holland
/wiki/Survivor:_David_vs._Goliath,Survivor: David vs. Goliath,37,39,"March 29, 2018","May 6, 2018[3]",20,Nick Wilson
/wiki/Survivor:_Edge_of_Extinction,Survivor: Edge of Extinction,38,39,"May 30, 2018","July 7, 2018[1]",18,Chris Underwood
/wiki/Survivor:_Island_of_the_Idols,Survivor: Island of the Idols,39,39,"March 21, 2019","April 28, 2019[1]",20,Tommy Sheehan
/wiki/Survivor:_Winners_at_War,Survivor: Winners at War,40,39,"May 22, 2019","June 29, 2019[1]",20,Tony Vlachos
/wiki/Survivor_41,Survivor 41,41,26,"April 15, 2021","May 10, 2021[1]",18,Erika Casupanan
/wiki/Survivor_42,Survivor 42,42,26,"May 16, 2021","June 10, 2021[1]",18,Maryanne Oketch
/wiki/Survivor_43,Survivor 43,43,26,"May 2, 2022","May 27, 2022[1]",18,Mike Gabler
/wiki/Survivor_44,Survivor 44,44,26,"June 5, 2022","June 30, 2022[1]",18,Yam Yam Arocho
/wiki/Survivor_45,Survivor 45,45,26,"April 16, 2023","May 11, 2023[1]",18,Dee Valladares
/wiki/Survivor_46,Survivor 46,46,26,"June 1, 2023","June 26, 2023[1]",18,
